episode,reward,loss,epsilon
338,-20.0,0.5837622880935669,0.7297313864954562
339,-20.0,1.2371646165847778,0.7290018375418075
340,-1.0,1.059856116771698,0.7282730179547252
341,-20.0,0.7877151966094971,0.727544927005025
342,-13.0,1.0521924793720245,0.7268175639642518
343,-12.0,0.4621095657348633,0.7264541551822697
344,-20.0,0.9223109483718872,0.7257278826406264
345,-20.0,0.5602165311574936,0.7250023361899566
346,-3.0,0.6366901993751526,0.7242775151043508
347,-8.0,0.7684796750545502,0.7235534186586253
348,8.0,0,0.7235534186586253
349,-1.0,0.7666610777378082,0.7228300461283215
350,-13.0,0.9472326040267944,0.7221073967897048
351,-20.0,1.0652583837509155,0.7213854699197644
352,-20.0,1.019473373889923,0.7206642647962122
353,-3.0,1.2851983904838562,0.7199437806974822
354,-5.0,0.3638649582862854,0.7195838088071335
355,-6.0,0.9940148591995239,0.7188644048942786
356,-20.0,1.01144540309906,0.7181457202054857
357,-20.0,0.8832988142967224,0.7174277540217103
358,-13.0,1.1028552651405334,0.7167105056246272
359,-20.0,0.5509256720542908,0.7159939742966291
360,4.0,1.1961524486541748,0.7152781593208262
361,-13.0,1.2099629044532776,0.7145630599810453
362,-6.0,1.1385113596916199,0.7138486755618293
363,-13.0,0.8118047416210175,0.7131350053484364
364,-6.0,1.1540231704711914,0.7124220486268393
365,-20.0,1.0137894749641418,0.7117098046837247
366,4.0,0.7617457211017609,0.7109982728064922
367,-13.0,0.9698148965835571,0.710287452283254
368,-20.0,0.9859241843223572,0.7095773424028339
369,-6.0,0.9734772443771362,0.7088679424547667
370,-6.0,0,0.7088679424547667
371,-13.0,1.26713627576828,0.7081592517292976
372,-20.0,0.5671976506710052,0.7074512695173812
373,-8.0,0.4011869430541992,0.7070975438826226
374,2.0,0.40169090032577515,0.7067439951106813
375,-6.0,0.6880252361297607,0.7060374278015695
376,-1.0,0.8016566634178162,0.7056844090876688
377,-13.0,0.9228834807872772,0.7049789010996835
378,-1.0,0.8995591402053833,0.7042740984433092
379,4.0,0.9218989014625549,0.7035700004133906
380,-13.0,0.7922031879425049,0.7028666063054774
381,-4.0,0,0.7028666063054774
382,-13.0,0.847754180431366,0.7021639154158236
383,-13.0,0.8354613184928894,0.7014619270413868
384,-1.0,0.9381480515003204,0.7007606404798272
385,-3.0,1.0073696970939636,0.7000600550295075
386,-13.0,0.7589778304100037,0.6993601699894918
387,4.0,0.71759894490242,0.6986609846595448
388,-20.0,0.6577671468257904,0.6979624983401315
389,2.0,0.9946513175964355,0.697264710332416
390,-20.0,0.747835636138916,0.6965676199382612
391,-1.0,1.2034108638763428,0.695871226460228
392,-13.0,0.9533299505710602,0.6951755292015744
393,-20.0,0.9663800597190857,0.6944805274662552
394,-6.0,0.7931896150112152,0.6937862205589209
395,-13.0,0.8738507330417633,0.6930926077849172
396,-13.0,0.5564121305942535,0.6923996884502843
397,-6.0,1.018949180841446,0.6917074618617562
398,6.0,0.6389438807964325,0.69101592732676
399,-14.0,0.35408416390419006,0.6906704193630966
400,10.0,0,0.6906704193630966
401,-13.0,0.747078612446785,0.6899799216113385
402,-3.0,0.7138982117176056,0.6892901141847075
403,-4.0,0,0.6892901141847075
404,-13.0,1.623429536819458,0.6886009963930515
405,-1.0,1.0654907822608948,0.6879125675469077
406,-13.0,0.8395944237709045,0.6872248269575028
407,-13.0,1.0059271454811096,0.6865377739367521
408,-20.0,0.6701430678367615,0.6858514077972588
409,-20.0,0.8038377463817596,0.6851657278523136
410,-13.0,0.9150815010070801,0.6844807334158933
411,-1.0,0.5082423985004425,0.6837964238026608
412,-13.0,0.8807830214500427,0.6831127983279641
413,11.0,0.5640031546354294,0.6824298563078359
414,-20.0,1.1047505140304565,0.6817475970589922
415,-13.0,0.9125192761421204,0.6810660198988326
416,-8.0,0.9763971567153931,0.6803851241454388
417,2.0,1.4418801665306091,0.6797049091175745
418,-20.0,1.000980257987976,0.6790253741346843
419,-20.0,1.0503625273704529,0.6783465185168932
420,-20.0,0.5564629435539246,0.6776683415850061
421,0.0,0.3694099187850952,0.6773295074142136
422,-8.0,0.7979476153850555,0.6766523472391763
423,-13.0,0.9253659248352051,0.6759758640550241
424,-8.0,1.0092610120773315,0.6753000571849351
425,-13.0,1.0195699036121368,0.6746249259527646
426,-13.0,0.8571770787239075,0.6739504696830434
427,-13.0,1.0592796802520752,0.6732766877009779
428,-13.0,0.8776722252368927,0.672603579332449
429,10.0,0.3660579025745392,0.6722672775427828
430,-20.0,0.5542252957820892,0.6715951783320595
431,-8.0,0.7497645318508148,0.6709237510525221
432,-14.0,0.5318194627761841,0.6705882891769959
433,-13.0,1.6666280031204224,0.6699178685348912
434,-2.0,0,0.6699178685348912
435,-13.0,2.039807617664337,0.6692481181458235
436,-20.0,1.8861371278762817,0.6685790373397072
437,2.0,0.8467816114425659,0.6682447478210375
438,-13.0,1.6802746653556824,0.6675766701344035
439,-20.0,1.0998563170433044,0.6669092603584367
440,-20.0,1.6739493012428284,0.6662425178253933
441,-20.0,1.459336280822754,0.6655764418681975
442,1.0,1.6341994404792786,0.6649110318204399
443,-1.0,1.201962411403656,0.6642462870163774
444,-20.0,0.999089241027832,0.6635822067909328
445,-20.0,1.1679930686950684,0.6629187904796937
446,-12.0,0.4143732488155365,0.6625873310844539
447,7.0,0.6677611470222473,0.6622560374189117
448,-13.0,0.7190708220005035,0.6615939469455022
449,-8.0,1.2949149012565613,0.6609325183970435
450,-13.0,1.4648128151893616,0.660271751111776
451,-13.0,1.0560170412063599,0.6596116444286021
452,-20.0,1.1090288758277893,0.6589521976870846
453,-13.0,1.1086423993110657,0.658293410227447
454,-13.0,1.1252415180206299,0.6576352813905723
455,-3.0,1.0791574120521545,0.6569778105180021
456,3.0,1.5419061183929443,0.6563209969519368
457,-1.0,1.2406638860702515,0.6556648400352342
458,-6.0,1.1456990242004395,0.655009339111409
459,-13.0,1.5599416494369507,0.6543544935246325
460,-1.0,1.083975076675415,0.6537003026197313
461,-20.0,0.9563402533531189,0.6530467657421873
462,-20.0,0.8729358911514282,0.6523938822381367
463,-20.0,1.358600914478302,0.6517416514543691
464,-8.0,1.3058095574378967,0.6510900727383278
465,-13.0,1.0493369400501251,0.6504391454381077
466,-13.0,1.235216200351715,0.649788868902456
467,6.0,0.9504164457321167,0.6491392424807709
468,-8.0,1.5102872252464294,0.6484902655231009
469,-20.0,0.9445594549179077,0.6478419373801442
470,-13.0,1.0240585505962372,0.6471942574032484
471,-1.0,1.2022244930267334,0.6465472249444096
472,1.0,1.3960529267787933,0.6459008393562715
473,13.0,1.0586863160133362,0.6452550999921252
474,-13.0,0.8518022000789642,0.6446100062059081
475,-6.0,1.0332428514957428,0.6439655573522038
476,-20.0,1.079580008983612,0.6433217527862412
477,-4.0,1.0157389044761658,0.6426785918638932
478,-6.0,1.411180317401886,0.6420360739416774
479,-20.0,0.8464862108230591,0.6413941983767543
480,-8.0,1.221966564655304,0.6407529645269272
